PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A,USG_PCT
1631121,Bryce McGowens,NBA,2024-25,Guard,G,13,2.5,1.0,0.2,0.2,0.1,0.0,0.3,1.1,0.5,0.3,0.244
1642267,Bub Carrington,NBA,2024-25,Guard,G,82,30.0,9.8,4.4,4.2,0.7,0.3,1.7,9.1,1.0,5.0,0.154
1627741,Buddy Hield,NBA,2024-25,Guard,G,82,22.7,11.1,1.6,3.2,0.8,0.3,1.1,9.6,0.8,6.7,0.196
203468,CJ McCollum,NBA,2024-25,Guard,G,56,32.7,21.1,4.1,3.8,0.8,0.4,1.9,17.9,3.1,8.2,0.266
1630595,Cade Cunningham,NBA,2024-25,Guard,G,70,35.0,26.1,9.1,6.1,1.0,0.8,4.4,20.8,5.3,6.0,0.323
1631216,Caleb Houstan,NBA,2024-25,Guard,G,58,13.6,4.1,0.6,1.3,0.4,0.1,0.2,3.3,0.3,2.8,0.115
1628997,Caleb Martin,NBA,2024-25,Wing,F,45,27.1,7.9,2.1,3.9,1.0,0.5,1.2,6.8,2.2,2.3,0.143
1642353,Cam Christie,NBA,2024-25,Guard,G,13,4.5,1.4,0.5,0.9,0.4,0.1,0.2,1.8,0.3,1.0,0.192
1629629,Cam Reddish,NBA,2024-25,,,33,17.9,3.2,0.7,2.0,1.0,0.3,0.4,2.8,0.8,1.4,0.084
1642285,Cam Spencer,NBA,2024-25,Guard,G,25,10.1,4.2,1.4,1.2,0.4,0.0,0.2,3.3,0.8,2.1,0.148
1630560,Cam Thomas,NBA,2024-25,Guard,G,25,31.2,24.0,3.8,3.3,0.6,0.1,2.5,18.2,6.0,7.8,0.328
1641715,Cam Whitmore,NBA,2024-25,Wing,F,51,16.2,9.4,1.0,3.0,0.6,0.3,0.9,7.9,1.4,3.6,0.231
1629661,Cameron Johnson,NBA,2024-25,Wing,F,57,31.6,18.8,3.4,4.3,0.9,0.4,1.7,13.1,3.9,7.2,0.224
1626166,Cameron Payne,NBA,2024-25,Guard,G,72,15.1,6.9,2.8,1.4,0.5,0.2,0.7,6.2,0.8,3.6,0.2
1627747,Caris LeVert,NBA,2024-25,Guard,G,64,24.9,12.1,3.4,3.2,0.9,0.5,1.2,9.4,2.4,4.4,0.191
1641717,Cason Wallace,NBA,2024-25,Guard,G,68,27.6,8.4,2.5,3.4,1.8,0.5,0.9,7.2,0.5,3.1,0.124
1629646,Charles Bassey,NBA,2024-25,Big,C-F,36,10.4,4.4,0.5,4.2,0.4,0.8,0.6,3.3,0.9,0.0,0.164
1631096,Chet Holmgren,NBA,2024-25,Big,C-F,32,27.4,15.0,2.0,8.0,0.7,2.2,1.8,10.7,4.2,3.6,0.214
1628449,Chris Boucher,NBA,2024-25,Wing,F,50,17.2,10.0,0.7,4.5,0.5,0.5,0.6,7.4,1.7,3.9,0.208
1630537,Chris Duarte,NBA,2024-25,,,17,4.4,2.1,0.5,1.2,0.0,0.0,0.1,1.5,0.5,0.9,0.151
1641753,Chris Livingston,NBA,2024-25,Wing,F,21,5.0,1.4,0.2,1.7,0.2,0.0,0.3,1.3,0.8,0.4,0.15
101108,Chris Paul,NBA,2024-25,Guard,G,82,28.0,8.8,7.4,3.6,1.3,0.3,1.6,7.1,1.1,4.5,0.137
1631128,Christian Braun,NBA,2024-25,Guard,G,79,33.9,15.4,2.6,5.2,1.1,0.5,1.0,10.4,2.7,2.8,0.155
1631132,Christian Koloko,NBA,2024-25,Big,C,37,9.2,2.4,0.4,2.5,0.2,0.4,0.3,1.8,0.4,0.1,0.104
1629643,Chuma Okeke,NBA,2024-25,Wing,F,9,21.9,5.9,1.7,5.2,0.6,0.4,0.3,4.4,0.3,3.1,0.093
203991,Clint Capela,NBA,2024-25,Big,C,55,21.4,8.9,1.1,8.5,0.6,1.0,0.9,7.1,1.8,0.0,0.16
1629632,Coby White,NBA,2024-25,Guard,G,74,33.1,20.4,4.5,3.7,0.9,0.2,2.4,15.1,4.1,7.9,0.237
1628998,Cody Martin,NBA,2024-25,Wing,F,53,22.1,6.8,2.0,4.2,1.1,0.6,1.0,6.1,1.2,2.8,0.142
1642262,Cody Williams,NBA,2024-25,Wing,F,50,21.2,4.6,1.2,2.3,0.5,0.3,0.9,5.1,0.8,2.7,0.122
1641732,Colby Jones,NBA,2024-25,Guard,G,39,13.2,4.0,1.1,2.2,0.7,0.3,0.6,3.3,0.9,1.3,0.138
